video_id,title,channel,query_used
D5TXJpbG7hk,સરપંચનો રોબોટ રિસાયો ભાગ-૨ // Gujarati Comedy Video // SARPANCH NO ROBBOT RISAYO // MDB,Mast Desi Boys,gujarati comedy
tTgA0SVMzQI,શહેર ની વહુ // Gujarati Comedy Video // SAHER NI VAHU // કોમેડી વિડિઓ // Desi Kings,Desi Kings,gujarati comedy
BF-zlNCs5Bw,"😂 ભાભીના ધમાકેદાર જોક્સ | 😜ગુજરાતી કોમેડી ડાયરો 2026 |#Gujarati #Jokes, #Comedy #Video #Ashok Thakor",ASHOK.THAKOR,gujarati comedy
bzraIFjSIEw,ડૉક્ટર ની ધમાલ  | PART 20 #gujarati  #comedy,Muktas Films,gujarati comedy
3inT33v5y1g,ગેંડા નો ઝગડો ભાગ 7 | Comedian vipul | gujarati comedy,Comedian Vipul,gujarati comedy
MW_nvrz4kAs,કાળી ઘરવાળી ની મા એ કયૉ ઝગડો | કાળી ઘરવાળી-૩૫ | Gujarati Comedy Video ,Maa Harshiddhi Group,gujarati comedy
zL6ZIe4EPBs,સાસરી ગેલો જમાઇ | Sasra ne gamata jamai | Gujarati Comedy Video ,HARSIDDHI TIGER GROUP -2,gujarati comedy
2FPdqgnDRD4,વાતોળીયા વેવાઈનો ત્રાસ | કોમેડી વિડિયો | Gujarati Comedy video ,HARSIDDHI TIGER GROUP -2,gujarati comedy
1qsXDCuPcMk,સાટા પેટામાં લગ્ન નું સમાધાન | હાટા પેટા માં લગ્ન-૨ | Gujarati Comedy video ,HARSIDDHI TIGER GROUP,gujarati comedy
eR1lj74tc2Y,ભણેલી વહુ લાઇ ચોમાસામાં છત્રી ભાગ-૧૧  // BHANELI VAHU // Gujarati Comedy Video // Funny Desi Boys,Funny Desi Boys,gujarati comedy
2gT7rtsSsTE,રાધા ગઈ કેરી ચોરવા ભાગ 5 | Comedian vipul | gujarati comedy,Comedian Vipul,gujarati comedy
k5DB3U4MJ-8,નણંદ-ભાભીની તરબૂચ પરની મજેદાર વાત 😂🍉 | Gujarati Comedy Short | નાનું કે મોટું?,Sumita Lifestyle ,gujarati comedy
p3sb5EuUHJ4,સરપંચ લાયા નખરારો રોબોટ // Gujarati Comedy Video // SARPANCH LAYA NAKHARARO ROBBOT // MDB,Mast Desi Boys,gujarati comedy
v7nxRhdTMXA,Dhirubhai Sarvaiya | મૂંગા થવા નો રોગ | Superhit Gujarati Comedy | Gujarati New Jokes 2026,Gujarati Comedy,gujarati comedy
1KoPevr6pIM,સસરા ને વહુ ગમતી નહીં // Gujarati Comedy Video // SASARA NE VAHU GAMATI NAHI // Mast Desi Boys,Mast Desi Boys,gujarati comedy
CefhAG3dda0,Raju seth Ne Sapanu Aavyu | Comedy Video |😂 Gujarati Comedy | 2026 😂Vijudina Comedy Video |Kisudi,Rajyo official comedy ,gujarati comedy
rhXPWMV5LSE,સાવનની પહેલી સવાર 🌿🙏 | Gujarati Village Vlog | #ytshorts #trending #sawan #gujarati #new,Pari's gujarat,gujarati vlog
O29bsIthQ7M,Pavagadh ma padyo varsad!! Mahakali mata na darshan!! Gujarati vlog video!! D A Vlog ,D A Vlog ,gujarati vlog
39YdQ1sc508,Frames lagavya pachi ghar mast dekhay che 😍|| Pc Art Family Vlog ,PC Art Family ,gujarati vlog
XovZr0N8gIU,ગુજરાતના સૌથી વધુ અમીર બ્લોગર | જે વિડીયો બનાવીને કમાય છે 5 થી 10 લાખ રૂપિયા #vlog #gujarati ,Lifestyle02,gujarati vlog
rdAeJKMK9g0,Mount Abu🥰 || Kp vlog || Gujarati Vlog ,Kp Thakor Vlogs ,gujarati vlog
P8lswQiNDHs,પોલીસ ને હિન્દી માં શું કહેવાય? 🤔ચતુર કરો વિચાર #gujarati #shorts | iq test questions | knowledge,Chintan Khokhar Vlog,gujarati vlog
GdbY_qJ4KJY,સરપ્રાઈઝ આપવા ગયા ને મોટો લોચો પડ્યો 😱🤦‍♂️ | અનેરી બોલી નવા નવા વાક્યો 👧| Anniversary vlog,Chintan Khokhar Vlog,gujarati vlog
21p-W3WiNGM,રક્ષાબંધન નું અને ત્રીશાના લાડવા નું સેલિબ્રેશન.. | sweta gediya vlog #viralvideo #suratvlogger ,Sweta Gediya Vlog,gujarati vlog
i9dKbKMmObY,लंदन में मिस्त्री  | Khajur Bhai | Jigli and Khajur ।London Vlog | Nitin Jani | Khajur Vlog,Khajur Bhai Vlogs,gujarati vlog
